isolate,species,oogonium.width,oospore.width
ICMP 19437,P. castaneae,23.75,17.5
ICMP 19437,P. castaneae,28.75,20
ICMP 19437,P. castaneae,22.5,17.5
ICMP 19437,P. castaneae,25,20
ICMP 19437,P. castaneae,22.5,17.5
ICMP 19437,P. castaneae,26.25,18.75
ICMP 19437,P. castaneae,26.25,21.25
ICMP 19437,P. castaneae,25,20
ICMP 19437,P. castaneae,27.5,22.5
ICMP 19450,P. castaneae,27.5,21.25
ICMP 19450,P. castaneae,25,20
ICMP 19450,P. castaneae,27.5,22.5
ICMP 19450,P. castaneae,25,20
ICMP 19450,P. castaneae,27.5,20
ICMP 19450,P. castaneae,30,22.5
ICMP 19450,P. castaneae,27.5,20
ICMP 19450,P. castaneae,27.5,22.5
ICMP 19450,P. castaneae,25,20
ICMP 19450,P. castaneae,30,20
ICMP 19450,P. castaneae,26.25,20
ICMP 19450,P. castaneae,30,20
ICMP 19450,P. castaneae,30,20
ICMP 19450,P. castaneae,25,20
ICMP 19450,P. castaneae,25,20
ICMP 19450,P. castaneae,27.5,21.25
ICMP 19450,P. castaneae,22.5,20
ICMP 19450,P. castaneae,25,20
ICMP 19450,P. castaneae,30,21.25
ICMP 19450,P. castaneae,27.5,22.5
ICMP 19451,P. heveae,30,20
ICMP 19451,P. heveae,30,25
ICMP 19451,P. heveae,27.5,25
ICMP 19451,P. heveae,30,22.5
ICMP 19451,P. heveae,30,25
ICMP 19451,P. heveae,32.5,27.5
ICMP 19451,P. heveae,25,20
ICMP 19451,P. heveae,25,20
ICMP 19451,P. heveae,25,20
ICMP 19451,P. heveae,32.5,27.5
ICMP 19451,P. heveae,30,25
ICMP 19451,P. heveae,25,20
ICMP 19451,P. heveae,25,20
ICMP 19451,P. heveae,32.5,27.5
ICMP 19451,P. heveae,32.5,27.5
ICMP 19451,P. heveae,32.5,27.5
ICMP 19451,P. heveae,30,25
ICMP 19451,P. heveae,32.5,27.5
ICMP 19451,P. heveae,30,22.5
ICMP 19451,P. heveae,32.5,25
ICMP 19452,P. heveae,30,25
ICMP 19452,P. heveae,42.5,32.5
ICMP 19452,P. heveae,27.5,20
ICMP 19452,P. heveae,27.5,21.25
ICMP 19452,P. heveae,35,32.5
ICMP 19452,P. heveae,27.5,21.25
ICMP 19452,P. heveae,28.75,20
ICMP 19452,P. heveae,45,35
ICMP 19452,P. heveae,30,25
ICMP 19452,P. heveae,40,30
ICMP 19452,P. heveae,25,20
ICMP 19452,P. heveae,30,20
ICMP 19452,P. heveae,35,30
ICMP 19452,P. heveae,27.5,20
ICMP 19452,P. heveae,32.5,25
ICMP 19452,P. heveae,27.5,23.75
ICMP 19452,P. heveae,25,20
ICMP 19452,P. heveae,25,20
ICMP 19452,P. heveae,27.5,20
ICMP 19452,P. heveae,25,20
ICMP 19453,P. heveae,20,17.5
ICMP 19453,P. heveae,23.75,22.5
ICMP 19453,P. heveae,25,22.5
ICMP 19453,P. heveae,22.5,21.25
ICMP 19453,P. heveae,20,17.5
ICMP 19453,P. heveae,21.25,20
ICMP 19453,P. heveae,30,25
ICMP 19453,P. heveae,30,22.5
ICMP 19453,P. heveae,27.5,21.25
ICMP 19453,P. heveae,27.5,21.25
ICMP 19453,P. heveae,27.5,21.25
ICMP 19453,P. heveae,30,25
ICMP 19453,P. heveae,30,20
ICMP 19453,P. heveae,25,20
ICMP 19453,P. heveae,25,18.75
ICMP 19453,P. heveae,25,20
ICMP 19453,P. heveae,25,20
ICMP 19453,P. heveae,27.5,21.25
ICMP 19453,P. heveae,25,20
ICMP 19453,P. heveae,25,20
ICMP 16691,P. heveae,30,25
ICMP 16691,P. heveae,27.5,22.5
ICMP 16691,P. heveae,27.5,23.75
ICMP 16691,P. heveae,28.75,25
ICMP 16691,P. heveae,33.75,27.5
ICMP 16691,P. heveae,30,26.25
ICMP 16691,P. heveae,27.5,23.75
ICMP 16691,P. heveae,22.5,17.5
ICMP 16691,P. heveae,27.5,22.5
ICMP 16691,P. heveae,30,25
ICMP 16691,P. heveae,30,26.25
ICMP 16691,P. heveae,25,22.5
ICMP 16691,P. heveae,27.5,23.75
ICMP 16691,P. heveae,27.5,22.5
ICMP 16691,P. heveae,27.5,22.5
ICMP 16691,P. heveae,31.25,25
ICMP 16691,P. heveae,27.5,26.25
ICMP 16691,P. heveae,27.5,25
ICMP 16691,P. heveae,30,26.25
ICMP 16691,P. heveae,26.25,22.5
ICMP 16948,P. cocois,22.5,21.25
ICMP 16948,P. cocois,31.25,28.75
ICMP 16948,P. cocois,26.25,25
ICMP 16948,P. cocois,22.5,22.5
ICMP 16948,P. cocois,25,23.75
ICMP 16948,P. cocois,25,22.5
ICMP 16948,P. cocois,23.75,22.5
ICMP 16948,P. cocois,25,28.75
ICMP 16948,P. cocois,25,28.75
ICMP 16948,P. cocois,27.5,25
ICMP 16948,P. cocois,25,28.75
ICMP 16948,P. cocois,25,22.5
ICMP 16948,P. cocois,22.5,22.5
ICMP 16948,P. cocois,23.75,22.5
ICMP 16948,P. cocois,25,28.75
ICMP 16948,P. cocois,26.25,25
ICMP 16948,P. cocois,23.75,28.75
ICMP 16948,P. cocois,26.25,25
ICMP 16948,P. cocois,25,28.75
ICMP 16948,P. cocois,25,22.5
ICMP 16949,P. cocois,27.5,26.25
ICMP 16949,P. cocois,25,23.75
ICMP 16949,P. cocois,25,23.75
ICMP 16949,P. cocois,23.75,22.5
ICMP 16949,P. cocois,25,22.5
ICMP 16949,P. cocois,26.25,26.25
ICMP 16949,P. cocois,27.5,25
ICMP 16949,P. cocois,27.5,25
ICMP 16949,P. cocois,35,25
ICMP 16949,P. cocois,26.25,25
ICMP 16949,P. cocois,30,22.5
ICMP 16949,P. cocois,25,23.75
ICMP 16949,P. cocois,35,27.5
ICMP 16949,P. cocois,25,23.75
ICMP 16949,P. cocois,23.75,22.5
ICMP 16949,P. cocois,32.5,27.5
ICMP 16949,P. cocois,22.5,21.25
ICMP 16949,P. cocois,30,25
ICMP 16949,P. cocois,27.5,25
ICMP 16949,P. cocois,23.75,22.5
ICMP 17027,P. agathidicida,32.5,30
ICMP 17027,P. agathidicida,30,27.5
ICMP 17027,P. agathidicida,30,27.5
ICMP 17027,P. agathidicida,32.5,30
ICMP 17027,P. agathidicida,33.75,30
ICMP 17027,P. agathidicida,30,27.5
ICMP 17027,P. agathidicida,33.75,30
ICMP 17027,P. agathidicida,32.5,28.75
ICMP 17027,P. agathidicida,27.5,23.75
ICMP 17027,P. agathidicida,35,31.25
ICMP 17027,P. agathidicida,35,30
ICMP 17027,P. agathidicida,32.5,28.75
ICMP 17027,P. agathidicida,32.5,30
ICMP 17027,P. agathidicida,30,27.5
ICMP 17027,P. agathidicida,30,27.5
ICMP 17027,P. agathidicida,33.75,30
ICMP 17027,P. agathidicida,32.5,30
ICMP 17027,P. agathidicida,30,27.5
ICMP 17027,P. agathidicida,32.5,27.5
ICMP 17027,P. agathidicida,32.5,28.75
ICMP 18358,P. agathidicida,32.5,30
ICMP 18358,P. agathidicida,32.5,30
ICMP 18358,P. agathidicida,35,32.5
ICMP 18358,P. agathidicida,32.5,30
ICMP 18358,P. agathidicida,31.25,28.75
ICMP 18358,P. agathidicida,32.5,28.75
ICMP 18358,P. agathidicida,32.5,30
ICMP 18358,P. agathidicida,45,35
ICMP 18358,P. agathidicida,25,23.75
ICMP 18358,P. agathidicida,35,31.25
ICMP 18358,P. agathidicida,30,27.5
ICMP 18358,P. agathidicida,40,35
ICMP 18358,P. agathidicida,45,35
ICMP 18358,P. agathidicida,40,35
ICMP 18358,P. agathidicida,33.75,28.75
ICMP 18358,P. agathidicida,35,28.75
ICMP 18358,P. agathidicida,35,30
ICMP 18358,P. agathidicida,35,30
ICMP 18358,P. agathidicida,33.75,30
ICMP 18358,P. agathidicida,40,33.75
ICMP 18360,P. agathidicida,32.5,30
ICMP 18360,P. agathidicida,32.5,27.5
ICMP 18360,P. agathidicida,35,30
ICMP 18360,P. agathidicida,35,28.75
ICMP 18360,P. agathidicida,32.5,27.5
ICMP 18360,P. agathidicida,35,30
ICMP 18360,P. agathidicida,33.75,30
ICMP 18360,P. agathidicida,32.5,30
ICMP 18360,P. agathidicida,28.75,25
ICMP 18360,P. agathidicida,35,30
ICMP 18360,P. agathidicida,37.5,30
ICMP 18360,P. agathidicida,31.25,25
ICMP 18360,P. agathidicida,33.75,27.5
ICMP 18360,P. agathidicida,31.25,27.5
ICMP 18360,P. agathidicida,32.5,27.5
ICMP 18360,P. agathidicida,32.5,27.5
ICMP 18360,P. agathidicida,30,25
ICMP 18360,P. agathidicida,37.5,30
ICMP 18360,P. agathidicida,30,26.25
ICMP 18360,P. agathidicida,30,25
ICMP 18401,P. agathidicida,35,30
ICMP 18401,P. agathidicida,32.5,30
ICMP 18401,P. agathidicida,35,32.5
ICMP 18401,P. agathidicida,35,32.5
ICMP 18401,P. agathidicida,32.5,31.25
ICMP 18401,P. agathidicida,35,30
ICMP 18401,P. agathidicida,31.25,27.5
ICMP 18401,P. agathidicida,33.75,30
ICMP 18401,P. agathidicida,28.75,25
ICMP 18401,P. agathidicida,30,27.5
ICMP 18401,P. agathidicida,27.5,25
ICMP 18401,P. agathidicida,27.5,25
ICMP 18401,P. agathidicida,35,28.75
ICMP 18401,P. agathidicida,31.25,28.75
ICMP 18401,P. agathidicida,35,30
ICMP 18401,P. agathidicida,32.5,31.25
ICMP 18401,P. agathidicida,31.25,28.75
ICMP 18401,P. agathidicida,32.5,27.5
ICMP 18401,P. agathidicida,33.75,28.75
ICMP 18401,P. agathidicida,28.75,23.75
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,27.5,25
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,32.5,28.75
ICMP 18404,P. agathidicida,35,30
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,31.25,27.5
ICMP 18404,P. agathidicida,30,28.75
ICMP 18404,P. agathidicida,35,30
ICMP 18404,P. agathidicida,32.5,28.75
ICMP 18404,P. agathidicida,32.5,30
ICMP 18404,P. agathidicida,30,27.5
ICMP 18404,P. agathidicida,35,32.5
ICMP 18404,P. agathidicida,31.25,27.5
ICMP 18404,P. agathidicida,27.5,25
ICMP 18404,P. agathidicida,35,30
ICMP 18406,P. agathidicida,30,28.75
ICMP 18406,P. agathidicida,30,27.5
ICMP 18406,P. agathidicida,30,26.25
ICMP 18406,P. agathidicida,30,25
ICMP 18406,P. agathidicida,32.5,27.5
ICMP 18406,P. agathidicida,30,27.5
ICMP 18406,P. agathidicida,30,27.5
ICMP 18406,P. agathidicida,30,25
ICMP 18406,P. agathidicida,27.5,25
ICMP 18406,P. agathidicida,27.5,26.25
ICMP 18406,P. agathidicida,26.25,25
ICMP 18406,P. agathidicida,30,27.5
ICMP 18406,P. agathidicida,30,26.25
ICMP 18406,P. agathidicida,32.5,30
ICMP 18406,P. agathidicida,36.25,32.5
ICMP 18406,P. agathidicida,32.5,30
ICMP 18406,P. agathidicida,32.5,30
ICMP 18406,P. agathidicida,32.5,28.75
ICMP 18406,P. agathidicida,30,26.25
ICMP 18406,P. agathidicida,30,26.25
ICMP 18407,P. agathidicida,35,30
ICMP 18407,P. agathidicida,35,28.75
ICMP 18407,P. agathidicida,37.5,32.5
ICMP 18407,P. agathidicida,37.5,30
ICMP 18407,P. agathidicida,35,28.75
ICMP 18407,P. agathidicida,27.5,22.5
ICMP 18407,P. agathidicida,35,30
ICMP 18407,P. agathidicida,30,25
ICMP 18407,P. agathidicida,36.25,27.5
ICMP 18407,P. agathidicida,35,30
ICMP 18407,P. agathidicida,28.75,25
ICMP 18407,P. agathidicida,30,25
ICMP 18407,P. agathidicida,35,27.5
ICMP 18407,P. agathidicida,30,25
ICMP 18407,P. agathidicida,30,25
ICMP 18407,P. agathidicida,35,27.5
ICMP 18407,P. agathidicida,32.5,27.5
ICMP 18407,P. agathidicida,31.25,27.5
ICMP 18407,P. agathidicida,31.25,25
ICMP 18407,P. agathidicida,30,22.5
ICMP 18408,P. agathidicida,32.5,22.5
ICMP 18408,P. agathidicida,31.25,27.5
ICMP 18408,P. agathidicida,30,25
ICMP 18408,P. agathidicida,30,25
ICMP 18408,P. agathidicida,35,30
ICMP 18408,P. agathidicida,30,27.5
ICMP 18408,P. agathidicida,33.75,30
ICMP 18408,P. agathidicida,31.25,25
ICMP 18408,P. agathidicida,32.5,25
ICMP 18408,P. agathidicida,35,25
ICMP 18408,P. agathidicida,30,22.5
ICMP 18408,P. agathidicida,25,22.5
ICMP 18408,P. agathidicida,30,25
ICMP 18408,P. agathidicida,30,25
ICMP 18408,P. agathidicida,25,20
ICMP 18408,P. agathidicida,35,27.5
ICMP 18408,P. agathidicida,33.75,30
ICMP 18408,P. agathidicida,35,30
ICMP 18408,P. agathidicida,35,27.5
ICMP 18408,P. agathidicida,27.5,22.5
ICMP 18410,P. agathidicida,30,26.25
ICMP 18410,P. agathidicida,35,27.5
ICMP 18410,P. agathidicida,36.25,30
ICMP 18410,P. agathidicida,32.5,27.5
ICMP 18410,P. agathidicida,37.5,32.5
ICMP 18410,P. agathidicida,33.75,28.75
ICMP 18410,P. agathidicida,35,30
ICMP 18410,P. agathidicida,31.25,27.5
ICMP 18410,P. agathidicida,35,30
ICMP 18410,P. agathidicida,30,25
ICMP 18410,P. agathidicida,30,25
ICMP 18410,P. agathidicida,32.5,27.5
ICMP 18410,P. agathidicida,30,25
ICMP 18410,P. agathidicida,30,26.25
ICMP 18410,P. agathidicida,35,30
ICMP 18410,P. agathidicida,32.5,27.5
ICMP 18410,P. agathidicida,32.5,27.5
ICMP 18410,P. agathidicida,27.5,23.75
ICMP 18410,P. agathidicida,32.5,26.25
ICMP 18410,P. agathidicida,32.5,27.5
