isolate,species,temperature,value
ICMP 18410,P. agathidicida,6C,0
ICMP 18410,P. agathidicida,6C,0
ICMP 18410,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 18360,P. agathidicida,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,0
ICMP 19451,P. heveae,6C,1
ICMP 19451,P. heveae,6C,1
ICMP 19451,P. heveae,6C,1
ICMP 19451,P. heveae,6C,1
ICMP 19635,P. castaneae,6C,4
ICMP 19635,P. castaneae,6C,3
ICMP 19635,P. castaneae,6C,5
ICMP 19635,P. castaneae,6C,4
ICMP 19635,P. castaneae,6C,3
ICMP 19635,P. castaneae,6C,4
ICMP 19635,P. castaneae,6C,3
ICMP 19635,P. castaneae,6C,3
ICMP 19635,P. castaneae,6C,4
ICMP 19635,P. castaneae,6C,5
ICMP 19635,P. castaneae,6C,4
ICMP 19635,P. castaneae,6C,3
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 17027,P. agathidicida,6C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16948,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 16949,P. cocois,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 19434,P. castaneae,10C,0
ICMP 18401,P. agathidicida,10C,5
ICMP 18401,P. agathidicida,10C,6
ICMP 18401,P. agathidicida,10C,6
ICMP 18401,P. agathidicida,10C,6
ICMP 18401,P. agathidicida,10C,4
ICMP 18401,P. agathidicida,10C,4
ICMP 18401,P. agathidicida,10C,5
ICMP 18401,P. agathidicida,10C,6
ICMP 18401,P. agathidicida,10C,4
ICMP 18401,P. agathidicida,10C,5
ICMP 18401,P. agathidicida,10C,6
ICMP 18401,P. agathidicida,10C,6
ICMP 18404,P. agathidicida,10C,8
ICMP 18404,P. agathidicida,10C,10
ICMP 18404,P. agathidicida,10C,9
ICMP 18404,P. agathidicida,10C,8
ICMP 18404,P. agathidicida,10C,10
ICMP 18404,P. agathidicida,10C,10
ICMP 18404,P. agathidicida,10C,10
ICMP 18404,P. agathidicida,10C,10
ICMP 18404,P. agathidicida,10C,10
ICMP 18404,P. agathidicida,10C,9
ICMP 18404,P. agathidicida,10C,9
ICMP 18404,P. agathidicida,10C,9
ICMP 18406,P. agathidicida,10C,5
ICMP 18406,P. agathidicida,10C,5
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,3
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,4
ICMP 18406,P. agathidicida,10C,3
ICMP 18406,P. agathidicida,10C,4
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18407,P. agathidicida,10C,5
ICMP 18408,P. agathidicida,10C,4
ICMP 18408,P. agathidicida,10C,5
ICMP 18408,P. agathidicida,10C,4
ICMP 18408,P. agathidicida,10C,4
ICMP 18408,P. agathidicida,10C,5
ICMP 18408,P. agathidicida,10C,5
ICMP 18408,P. agathidicida,10C,5
ICMP 18408,P. agathidicida,10C,6
ICMP 18408,P. agathidicida,10C,4
ICMP 18408,P. agathidicida,10C,5
ICMP 18408,P. agathidicida,10C,4
ICMP 18408,P. agathidicida,10C,4
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,8
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,8
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,9
ICMP 18410,P. agathidicida,10C,10
ICMP 18410,P. agathidicida,10C,8
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,6
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,6
ICMP 18360,P. agathidicida,10C,5
ICMP 18360,P. agathidicida,10C,5
ICMP 19451,P. heveae,10C,0
ICMP 19451,P. heveae,10C,0
ICMP 19451,P. heveae,10C,1
ICMP 19451,P. heveae,10C,2
ICMP 19451,P. heveae,10C,0
ICMP 19451,P. heveae,10C,0
ICMP 19451,P. heveae,10C,1
ICMP 19451,P. heveae,10C,1
ICMP 19451,P. heveae,10C,0
ICMP 19451,P. heveae,10C,0
ICMP 19451,P. heveae,10C,1
ICMP 19451,P. heveae,10C,1
ICMP 19635,P. castaneae,10C,2
ICMP 19635,P. castaneae,10C,3
ICMP 19635,P. castaneae,10C,4
ICMP 19635,P. castaneae,10C,4
ICMP 19635,P. castaneae,10C,2
ICMP 19635,P. castaneae,10C,3
ICMP 19635,P. castaneae,10C,3
ICMP 19635,P. castaneae,10C,5
ICMP 19635,P. castaneae,10C,1
ICMP 19635,P. castaneae,10C,1
ICMP 19635,P. castaneae,10C,1
ICMP 19635,P. castaneae,10C,2
ICMP 17027,P. agathidicida,10C,2
ICMP 17027,P. agathidicida,10C,3
ICMP 17027,P. agathidicida,10C,3
ICMP 17027,P. agathidicida,10C,4
ICMP 17027,P. agathidicida,10C,2
ICMP 17027,P. agathidicida,10C,4
ICMP 17027,P. agathidicida,10C,4
ICMP 17027,P. agathidicida,10C,5
ICMP 17027,P. agathidicida,10C,4
ICMP 17027,P. agathidicida,10C,4
ICMP 17027,P. agathidicida,10C,5
ICMP 17027,P. agathidicida,10C,5
ICMP 16948,P. cocois,15C,15
ICMP 16948,P. cocois,15C,15
ICMP 16948,P. cocois,15C,15
ICMP 16948,P. cocois,15C,16
ICMP 16948,P. cocois,15C,17
ICMP 16948,P. cocois,15C,17
ICMP 16948,P. cocois,15C,17
ICMP 16948,P. cocois,15C,17
ICMP 16948,P. cocois,15C,16
ICMP 16948,P. cocois,15C,16
ICMP 16948,P. cocois,15C,17
ICMP 16948,P. cocois,15C,17
ICMP 16949,P. cocois,15C,18
ICMP 16949,P. cocois,15C,18
ICMP 16949,P. cocois,15C,18.5
ICMP 16949,P. cocois,15C,20
ICMP 16949,P. cocois,15C,19
ICMP 16949,P. cocois,15C,18
ICMP 16949,P. cocois,15C,19
ICMP 16949,P. cocois,15C,19
ICMP 16949,P. cocois,15C,18
ICMP 16949,P. cocois,15C,18
ICMP 16949,P. cocois,15C,19
ICMP 16949,P. cocois,15C,19
ICMP 19434,P. castaneae,15C,6
ICMP 19434,P. castaneae,15C,6
ICMP 19434,P. castaneae,15C,6
ICMP 19434,P. castaneae,15C,7
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 19434,P. castaneae,15C,5
ICMP 18401,P. agathidicida,15C,20
ICMP 18401,P. agathidicida,15C,21
ICMP 18401,P. agathidicida,15C,22
ICMP 18401,P. agathidicida,15C,22
ICMP 18401,P. agathidicida,15C,21
ICMP 18401,P. agathidicida,15C,22
ICMP 18401,P. agathidicida,15C,22
ICMP 18401,P. agathidicida,15C,21
ICMP 18401,P. agathidicida,15C,21
ICMP 18401,P. agathidicida,15C,22
ICMP 18401,P. agathidicida,15C,22
ICMP 18401,P. agathidicida,15C,23
ICMP 18404,P. agathidicida,15C,15
ICMP 18404,P. agathidicida,15C,15
ICMP 18404,P. agathidicida,15C,15
ICMP 18404,P. agathidicida,15C,15
ICMP 18404,P. agathidicida,15C,24
ICMP 18404,P. agathidicida,15C,24
ICMP 18404,P. agathidicida,15C,24
ICMP 18404,P. agathidicida,15C,24
ICMP 18404,P. agathidicida,15C,14
ICMP 18404,P. agathidicida,15C,22
ICMP 18404,P. agathidicida,15C,23
ICMP 18404,P. agathidicida,15C,23
ICMP 18406,P. agathidicida,15C,40
ICMP 18406,P. agathidicida,15C,23
ICMP 18406,P. agathidicida,15C,24
ICMP 18406,P. agathidicida,15C,23
ICMP 18406,P. agathidicida,15C,19
ICMP 18406,P. agathidicida,15C,33
ICMP 18406,P. agathidicida,15C,22
ICMP 18406,P. agathidicida,15C,22
ICMP 18406,P. agathidicida,15C,20
ICMP 18406,P. agathidicida,15C,20
ICMP 18406,P. agathidicida,15C,22
ICMP 18406,P. agathidicida,15C,23
ICMP 18407,P. agathidicida,15C,20
ICMP 18407,P. agathidicida,15C,20
ICMP 18407,P. agathidicida,15C,21
ICMP 18407,P. agathidicida,15C,22
ICMP 18407,P. agathidicida,15C,18
ICMP 18407,P. agathidicida,15C,18
ICMP 18407,P. agathidicida,15C,19
ICMP 18407,P. agathidicida,15C,18
ICMP 18407,P. agathidicida,15C,17
ICMP 18407,P. agathidicida,15C,17
ICMP 18407,P. agathidicida,15C,17
ICMP 18407,P. agathidicida,15C,18
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,23
ICMP 18408,P. agathidicida,15C,20
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,22
ICMP 18408,P. agathidicida,15C,23
ICMP 18408,P. agathidicida,15C,23
ICMP 18408,P. agathidicida,15C,23
ICMP 18410,P. agathidicida,15C,22
ICMP 18410,P. agathidicida,15C,22
ICMP 18410,P. agathidicida,15C,23
ICMP 18410,P. agathidicida,15C,23
ICMP 18410,P. agathidicida,15C,22
ICMP 18410,P. agathidicida,15C,22
ICMP 18410,P. agathidicida,15C,23
ICMP 18410,P. agathidicida,15C,23
ICMP 18410,P. agathidicida,15C,23
ICMP 18410,P. agathidicida,15C,24
ICMP 18410,P. agathidicida,15C,24
ICMP 18410,P. agathidicida,15C,24
ICMP 18360,P. agathidicida,15C,20
ICMP 18360,P. agathidicida,15C,21
ICMP 18360,P. agathidicida,15C,21
ICMP 18360,P. agathidicida,15C,22
ICMP 18360,P. agathidicida,15C,20
ICMP 18360,P. agathidicida,15C,21
ICMP 18360,P. agathidicida,15C,21
ICMP 18360,P. agathidicida,15C,22
ICMP 18360,P. agathidicida,15C,24
ICMP 18360,P. agathidicida,15C,24
ICMP 18360,P. agathidicida,15C,24
ICMP 18360,P. agathidicida,15C,24
ICMP 19451,P. heveae,15C,13
ICMP 19451,P. heveae,15C,15
ICMP 19451,P. heveae,15C,15
ICMP 19451,P. heveae,15C,17
ICMP 19451,P. heveae,15C,16
ICMP 19451,P. heveae,15C,16
ICMP 19451,P. heveae,15C,18
ICMP 19451,P. heveae,15C,18
ICMP 19451,P. heveae,15C,16
ICMP 19451,P. heveae,15C,16
ICMP 19451,P. heveae,15C,16
ICMP 19451,P. heveae,15C,20
ICMP 19635,P. castaneae,15C,22
ICMP 19635,P. castaneae,15C,23
ICMP 19635,P. castaneae,15C,24
ICMP 19635,P. castaneae,15C,25
ICMP 19635,P. castaneae,15C,23
ICMP 19635,P. castaneae,15C,25
ICMP 19635,P. castaneae,15C,25
ICMP 19635,P. castaneae,15C,28
ICMP 19635,P. castaneae,15C,24
ICMP 19635,P. castaneae,15C,25
ICMP 19635,P. castaneae,15C,26
ICMP 19635,P. castaneae,15C,26
ICMP 17027,P. agathidicida,15C,26
ICMP 17027,P. agathidicida,15C,26
ICMP 17027,P. agathidicida,15C,25
ICMP 17027,P. agathidicida,15C,26
ICMP 17027,P. agathidicida,15C,26
ICMP 17027,P. agathidicida,15C,25
ICMP 17027,P. agathidicida,15C,26
ICMP 17027,P. agathidicida,15C,25
ICMP 17027,P. agathidicida,15C,24
ICMP 17027,P. agathidicida,15C,24
ICMP 17027,P. agathidicida,15C,24
ICMP 17027,P. agathidicida,15C,23
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,20
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,20
ICMP 16948,P. cocois,17.5C,22
ICMP 16948,P. cocois,17.5C,21
ICMP 16948,P. cocois,17.5C,22
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,27
ICMP 16949,P. cocois,17.5C,27
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,27
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,28
ICMP 16949,P. cocois,17.5C,29
ICMP 19434,P. castaneae,17.5C,12
ICMP 19434,P. castaneae,17.5C,12
ICMP 19434,P. castaneae,17.5C,12
ICMP 19434,P. castaneae,17.5C,12
ICMP 19434,P. castaneae,17.5C,13
ICMP 19434,P. castaneae,17.5C,13
ICMP 19434,P. castaneae,17.5C,13
ICMP 19434,P. castaneae,17.5C,13
ICMP 19434,P. castaneae,17.5C,14
ICMP 19434,P. castaneae,17.5C,16
ICMP 19434,P. castaneae,17.5C,16
ICMP 19434,P. castaneae,17.5C,16
ICMP 18401,P. agathidicida,17.5C,30
ICMP 18401,P. agathidicida,17.5C,30
ICMP 18401,P. agathidicida,17.5C,30
ICMP 18401,P. agathidicida,17.5C,31
ICMP 18401,P. agathidicida,17.5C,31
ICMP 18401,P. agathidicida,17.5C,31
ICMP 18401,P. agathidicida,17.5C,32
ICMP 18401,P. agathidicida,17.5C,32
ICMP 18401,P. agathidicida,17.5C,31
ICMP 18401,P. agathidicida,17.5C,32
ICMP 18401,P. agathidicida,17.5C,33
ICMP 18401,P. agathidicida,17.5C,33
ICMP 18404,P. agathidicida,17.5C,33
ICMP 18404,P. agathidicida,17.5C,34
ICMP 18404,P. agathidicida,17.5C,34
ICMP 18404,P. agathidicida,17.5C,35
ICMP 18404,P. agathidicida,17.5C,32
ICMP 18404,P. agathidicida,17.5C,34
ICMP 18404,P. agathidicida,17.5C,34
ICMP 18404,P. agathidicida,17.5C,34
ICMP 18404,P. agathidicida,17.5C,32
